state,region,soil_type,rainfall_mm,season,area_ha,crop_name,predicted_yield_kg_per_ha
Bihar,East,Red,1050,Rabi,0.79,Millets,1579
Chhattisgarh,Central,Alluvial,1031,Rabi,0.1,Millets,1836
Chhattisgarh,Central,Red,640,Kharif,2.08,Rice,2752
Odisha,East,Loamy,386,Kharif,1.05,Millets,1495
Jharkhand,East,Sandy,1028,Kharif,1.86,Potato,20519
Nagaland,Northeast,Loamy,779,Rabi,0.8,Cotton,2616
Jharkhand,East,Red,739,Kharif,3.75,Oilseeds,1090
Rajasthan,West,Alluvial,951,Kharif,2.07,Millets,1691
Jharkhand,East,Laterite,994,Kharif,2.67,Vegetables,16307
Manipur,Northeast,Laterite,477,Rabi,1.63,Maize,2897
Arunachal Pradesh,Northeast,Clay,743,Rabi,1.17,Wheat,2994
Maharashtra,West,Black (Regur),1094,Kharif,1.69,Jute,2884
Karnataka,South,Alluvial,741,Rabi,0.85,Jute,2934
Bihar,East,Laterite,1600,Kharif,2.33,Oilseeds,1016
Punjab,North,Loamy,544,Zaid,3.66,Jute,2327
Goa,West,Black (Regur),1039,Kharif,4.93,Cotton,2308
Odisha,East,Loamy,1496,Rabi,2.07,Potato,24798
Punjab,North,Loamy,948,Kharif,1.18,Wheat,3122
Madhya Pradesh,Central,Loamy,757,Kharif,0.1,Potato,24553
Bihar,East,Sandy,339,Rabi,2.75,Sugarcane,60262
Bihar,East,Black (Regur),972,Kharif,2.39,Sugarcane,78443
Kerala,South,Alluvial,1287,Kharif,0.52,Oilseeds,1339
Andhra Pradesh,South,Alluvial,816,Rabi,0.9,Wheat,3756
Assam,Northeast,Red,104,Rabi,2.39,Potato,18260
Bihar,East,Clay,982,Kharif,0.51,Wheat,2701
Tripura,Northeast,Laterite,1035,Rabi,2.49,Oilseeds,1360
Himachal Pradesh,North,Clay,1129,Kharif,2.3,Oilseeds,1202
Madhya Pradesh,Central,Black (Regur),942,Rabi,0.94,Rice,3988
West Bengal,East,Sandy,607,Kharif,0.96,Vegetables,12609
Kerala,South,Clay,1167,Rabi,0.63,Oilseeds,1278
Maharashtra,West,Loamy,772,Kharif,0.1,Vegetables,18956
Haryana,North,Red,742,Kharif,0.1,Pulses,926
Haryana,North,Loamy,1103,Kharif,0.2,Vegetables,16527
Rajasthan,West,Black (Regur),980,Rabi,1.15,Oilseeds,1403
Karnataka,South,Laterite,500,Rabi,3.03,Wheat,2611
Uttar Pradesh,North,Black (Regur),1158,Kharif,2.46,Millets,1494
Madhya Pradesh,Central,Alluvial,1100,Rabi,0.1,Millets,1831
Mizoram,Northeast,Black (Regur),834,Zaid,1.8,Cotton,2121
Karnataka,South,Black (Regur),684,Rabi,2.5,Wheat,3231
Haryana,North,Loamy,804,Zaid,2.91,Wheat,2598
Goa,West,Loamy,1222,Rabi,2.53,Cotton,2305
West Bengal,East,Clay,635,Kharif,3.22,Rice,3093
Uttarakhand,North,Black (Regur),599,Kharif,0.74,Oilseeds,1078
Telangana,South,Clay,1364,Rabi,0.54,Maize,3289
Goa,West,Black (Regur),692,Rabi,0.85,Pulses,971
Punjab,North,Red,762,Kharif,2.34,Maize,2961
Punjab,North,Red,651,Rabi,1.19,Sugarcane,66239
Gujarat,West,Loamy,503,Kharif,0.1,Millets,1685
Goa,West,Red,926,Rabi,0.1,Vegetables,17804
Sikkim,Northeast,Clay,1125,Kharif,0.62,Rice,3164
Andhra Pradesh,South,Alluvial,900,Kharif,0.79,Potato,26341
Chhattisgarh,Central,Red,626,Kharif,1.21,Oilseeds,996
West Bengal,East,Laterite,695,Rabi,1.17,Potato,21489
Arunachal Pradesh,Northeast,Clay,754,Zaid,2.9,Rice,2973
Gujarat,West,Clay,965,Kharif,3.18,Millets,1533
Odisha,East,Clay,1013,Rabi,2.73,Millets,1585
Goa,West,Alluvial,751,Kharif,1.28,Vegetables,19758
Andhra Pradesh,South,Laterite,1264,Kharif,0.8,Millets,1450
Sikkim,Northeast,Sandy,955,Kharif,0.47,Cotton,1948
Mizoram,Northeast,Black (Regur),671,Kharif,2.13,Cotton,2060
Karnataka,South,Clay,519,Rabi,1.74,Millets,1413
Sikkim,Northeast,Loamy,351,Rabi,0.1,Millets,1823
Madhya Pradesh,Central,Black (Regur),889,Kharif,1.24,Sugarcane,76279
Kerala,South,Black (Regur),1057,Kharif,1.03,Sugarcane,65676
Bihar,East,Sandy,755,Kharif,0.91,Millets,1412
West Bengal,East,Laterite,659,Kharif,0.1,Pulses,792
Assam,Northeast,Black (Regur),1013,Rabi,1.61,Maize,4109
Nagaland,Northeast,Red,608,Kharif,1.87,Jute,1956
Sikkim,Northeast,Loamy,914,Rabi,0.1,Wheat,3393
Mizoram,Northeast,Red,765,Rabi,4.19,Pulses,966
Sikkim,Northeast,Laterite,484,Kharif,2.86,Sugarcane,53296
Rajasthan,West,Clay,449,Rabi,0.1,Rice,3168
Nagaland,Northeast,Sandy,192,Rabi,0.83,Potato,15501
Telangana,South,Black (Regur),998,Zaid,0.97,Maize,2997
Uttarakhand,North,Loamy,1250,Rabi,0.1,Sugarcane,80452
Nagaland,Northeast,Red,847,Kharif,0.13,Jute,2325
Sikkim,Northeast,Sandy,1020,Kharif,2.8,Jute,2191
Jharkhand,East,Sandy,771,Kharif,2.66,Rice,2577
Uttar Pradesh,North,Black (Regur),612,Kharif,2.9,Jute,2574
Manipur,Northeast,Black (Regur),1084,Rabi,2.96,Potato,28594
Chhattisgarh,Central,Loamy,1005,Rabi,1.72,Rice,4003
Rajasthan,West,Black (Regur),919,Rabi,1.82,Potato,26912
Nagaland,Northeast,Red,1210,Kharif,0.49,Potato,20338
Mizoram,Northeast,Sandy,953,Kharif,4.59,Vegetables,14805
Tripura,Northeast,Laterite,342,Rabi,0.52,Maize,3151
Meghalaya,Northeast,Clay,1165,Kharif,1.94,Rice,3256
Mizoram,Northeast,Black (Regur),962,Zaid,1.27,Millets,1436
Tamil Nadu,South,Red,868,Rabi,3,Maize,3424
Madhya Pradesh,Central,Clay,891,Kharif,4.72,Cotton,2106
Kerala,South,Clay,619,Kharif,0.64,Maize,3003
Haryana,North,Laterite,1123,Kharif,2.86,Wheat,2731
Maharashtra,West,Black (Regur),502,Rabi,1.71,Millets,1755
Andhra Pradesh,South,Sandy,841,Kharif,1.25,Vegetables,13271
Goa,West,Black (Regur),846,Rabi,1.41,Millets,1936
Assam,Northeast,Black (Regur),1170,Rabi,3.48,Vegetables,18017
Odisha,East,Loamy,1125,Kharif,3.09,Oilseeds,1387
Assam,Northeast,Alluvial,249,Kharif,1.13,Millets,1298
Chhattisgarh,Central,Sandy,1165,Rabi,0.47,Wheat,2525
Sikkim,Northeast,Clay,1317,Kharif,0.81,Pulses,813
Kerala,South,Black (Regur),1070,Kharif,0.1,Pulses,962
Uttar Pradesh,North,Loamy,694,Rabi,1.92,Cotton,2442
Assam,Northeast,Black (Regur),1394,Kharif,1.57,Rice,2879
Bihar,East,Laterite,785,Rabi,2.54,Maize,3277
Odisha,East,Black (Regur),190,Rabi,0.1,Pulses,874
Maharashtra,West,Laterite,683,Kharif,1.19,Potato,19102
Tripura,Northeast,Clay,1058,Rabi,2.09,Maize,3400
Mizoram,Northeast,Sandy,860,Rabi,1.14,Pulses,965
Andhra Pradesh,South,Black (Regur),799,Zaid,1.67,Cotton,1933
Punjab,North,Black (Regur),431,Rabi,1.25,Vegetables,16002
Tripura,Northeast,Black (Regur),1309,Kharif,0.1,Sugarcane,58796
Arunachal Pradesh,Northeast,Loamy,939,Kharif,1.78,Cotton,2338
Goa,West,Black (Regur),584,Kharif,2.48,Sugarcane,58553
Tamil Nadu,South,Red,530,Rabi,0.92,Jute,2603
Himachal Pradesh,North,Black (Regur),691,Zaid,1.08,Pulses,808
Nagaland,Northeast,Alluvial,1490,Rabi,0.84,Vegetables,16553
Manipur,Northeast,Clay,623,Kharif,3.25,Millets,1413
Odisha,East,Red,257,Kharif,0.1,Millets,1185
Uttar Pradesh,North,Sandy,828,Kharif,0.61,Potato,18036
Sikkim,Northeast,Sandy,622,Zaid,1.66,Vegetables,11090
Telangana,South,Black (Regur),921,Rabi,2.39,Potato,25115
Gujarat,West,Red,1428,Kharif,3.18,Millets,1399
Meghalaya,Northeast,Sandy,1066,Zaid,0.56,Jute,1924
Odisha,East,Clay,859,Zaid,2.34,Vegetables,13995
Mizoram,Northeast,Sandy,558,Kharif,3.45,Maize,2561
Bihar,East,Loamy,765,Kharif,0.46,Wheat,3064
Punjab,North,Red,493,Kharif,1.8,Jute,2029
Maharashtra,West,Red,633,Kharif,2.27,Vegetables,13374
Odisha,East,Loamy,928,Kharif,2.77,Pulses,958
Uttar Pradesh,North,Clay,757,Kharif,1.81,Millets,1580
Telangana,South,Red,624,Rabi,1,Maize,2897
Uttarakhand,North,Alluvial,756,Kharif,2.48,Sugarcane,75938
Uttar Pradesh,North,Alluvial,724,Kharif,0.1,Vegetables,18760
Rajasthan,West,Red,739,Kharif,0.27,Oilseeds,1290
Madhya Pradesh,Central,Laterite,462,Rabi,0.1,Pulses,868
Odisha,East,Alluvial,935,Kharif,2.54,Potato,26479
Punjab,North,Black (Regur),1361,Rabi,0.75,Sugarcane,73858
Maharashtra,West,Laterite,525,Rabi,0.1,Wheat,2480
Madhya Pradesh,Central,Black (Regur),1197,Kharif,1.7,Wheat,2842
Punjab,North,Black (Regur),904,Kharif,2.48,Millets,1530
Mizoram,Northeast,Loamy,1416,Kharif,0.28,Oilseeds,1277
Nagaland,Northeast,Laterite,839,Zaid,0.79,Vegetables,13489
Telangana,South,Sandy,258,Rabi,0.95,Oilseeds,904
Uttar Pradesh,North,Black (Regur),898,Kharif,1.52,Maize,3417
Meghalaya,Northeast,Black (Regur),859,Zaid,1.52,Pulses,946
Punjab,North,Red,1137,Kharif,0.63,Cotton,1860
Telangana,South,Laterite,703,Kharif,1.92,Vegetables,16050
Sikkim,Northeast,Sandy,397,Rabi,2.72,Maize,2635
Bihar,East,Red,636,Rabi,1.55,Maize,2890
Nagaland,Northeast,Red,795,Kharif,0.1,Cotton,1831
Andhra Pradesh,South,Red,610,Rabi,1.51,Rice,2877
Uttarakhand,North,Red,1204,Rabi,2.09,Cotton,2368
Himachal Pradesh,North,Alluvial,834,Zaid,0.35,Oilseeds,1184
Arunachal Pradesh,Northeast,Alluvial,1237,Kharif,1.35,Millets,1892
Karnataka,South,Loamy,672,Zaid,1.38,Millets,1329
Kerala,South,Laterite,928,Zaid,2.78,Rice,2381
Himachal Pradesh,North,Laterite,1406,Kharif,2.05,Oilseeds,1008
Chhattisgarh,Central,Laterite,793,Kharif,0.5,Millets,1292
Kerala,South,Clay,638,Kharif,1.58,Sugarcane,65313
Tripura,Northeast,Loamy,794,Kharif,0.45,Maize,3447
Arunachal Pradesh,Northeast,Red,512,Kharif,1.6,Sugarcane,56875
Telangana,South,Sandy,793,Zaid,1.35,Maize,2544
Uttarakhand,North,Alluvial,412,Rabi,1.43,Rice,3531
Kerala,South,Loamy,1442,Kharif,1.05,Cotton,1953
Meghalaya,Northeast,Red,808,Kharif,1.05,Sugarcane,66897
Arunachal Pradesh,Northeast,Clay,1053,Kharif,1.99,Rice,3194
Uttarakhand,North,Sandy,889,Rabi,2.65,Vegetables,16392
Andhra Pradesh,South,Black (Regur),1066,Zaid,0.33,Millets,1357
Nagaland,Northeast,Clay,755,Kharif,0.1,Potato,23234
Telangana,South,Laterite,1295,Zaid,2.61,Sugarcane,54014
Gujarat,West,Loamy,542,Zaid,0.95,Wheat,2723
Odisha,East,Loamy,1322,Kharif,2.79,Sugarcane,61936
Karnataka,South,Sandy,743,Kharif,2.34,Jute,2289
Maharashtra,West,Loamy,921,Kharif,3,Pulses,1074
Telangana,South,Black (Regur),979,Zaid,1.5,Potato,22247
Mizoram,Northeast,Alluvial,1003,Kharif,3.82,Rice,3653
Tamil Nadu,South,Sandy,1055,Rabi,1.19,Rice,2921
Chhattisgarh,Central,Sandy,890,Kharif,2.51,Vegetables,13993
Gujarat,West,Clay,259,Kharif,1.69,Vegetables,13617
Bihar,East,Loamy,515,Rabi,2.91,Jute,2626
Uttarakhand,North,Alluvial,963,Rabi,3.23,Vegetables,22070
Rajasthan,West,Red,736,Kharif,2.9,Jute,2395
Haryana,North,Black (Regur),907,Zaid,0.1,Wheat,2623
Jharkhand,East,Red,814,Kharif,1.33,Pulses,855
Madhya Pradesh,Central,Laterite,702,Rabi,1.6,Pulses,964
Gujarat,West,Sandy,1367,Kharif,2.4,Jute,1903
Odisha,East,Black (Regur),1000,Kharif,2.53,Millets,1496
Jharkhand,East,Clay,742,Zaid,1.74,Rice,3075
Haryana,North,Clay,1322,Rabi,2.51,Cotton,2157
Chhattisgarh,Central,Alluvial,985,Kharif,0.54,Oilseeds,1253
Gujarat,West,Sandy,881,Kharif,2.88,Maize,2967
Sikkim,Northeast,Loamy,896,Kharif,1.92,Cotton,2399
Punjab,North,Alluvial,663,Kharif,0.1,Millets,1523
Bihar,East,Loamy,1254,Kharif,1.32,Wheat,3431
Meghalaya,Northeast,Laterite,1276,Kharif,1.18,Rice,2574
Mizoram,Northeast,Loamy,740,Kharif,2.42,Millets,1633
Mizoram,Northeast,Red,1325,Rabi,0.1,Rice,3072
Himachal Pradesh,North,Black (Regur),1150,Rabi,2.12,Millets,1860
Rajasthan,West,Sandy,1546,Kharif,1.02,Jute,1817
Chhattisgarh,Central,Sandy,948,Rabi,2.13,Sugarcane,69040
Maharashtra,West,Laterite,738,Rabi,1.22,Wheat,2943
Telangana,South,Laterite,959,Rabi,0.1,Pulses,1021
Jharkhand,East,Loamy,822,Zaid,3.56,Wheat,2647
Andhra Pradesh,South,Red,592,Rabi,0.45,Cotton,2059
Kerala,South,Laterite,525,Kharif,0.34,Jute,1922
Madhya Pradesh,Central,Laterite,236,Kharif,3.22,Potato,17266
Haryana,North,Clay,1230,Kharif,4.18,Oilseeds,1352
Meghalaya,Northeast,Laterite,967,Kharif,0.1,Pulses,887
Madhya Pradesh,Central,Sandy,604,Kharif,0.1,Rice,2432
Manipur,Northeast,Laterite,512,Kharif,2.69,Sugarcane,54323
Tripura,Northeast,Red,1286,Kharif,0.13,Potato,21775
Maharashtra,West,Loamy,1253,Kharif,3.26,Oilseeds,1249
Mizoram,Northeast,Loamy,692,Kharif,2.16,Rice,2880
Odisha,East,Black (Regur),705,Kharif,3.05,Maize,3682
Bihar,East,Loamy,607,Kharif,1.32,Sugarcane,68184
Goa,West,Clay,590,Kharif,3.59,Maize,2834
Chhattisgarh,Central,Black (Regur),805,Kharif,0.1,Potato,24868
Bihar,East,Alluvial,893,Rabi,2.83,Oilseeds,1537
Andhra Pradesh,South,Laterite,595,Rabi,1.69,Wheat,2686
Andhra Pradesh,South,Sandy,987,Rabi,0.76,Maize,2920
Rajasthan,West,Alluvial,1032,Rabi,0.64,Wheat,3236
Maharashtra,West,Red,755,Rabi,0.1,Sugarcane,66719
Manipur,Northeast,Alluvial,812,Kharif,2.6,Pulses,1106
Tripura,Northeast,Red,1327,Kharif,3.15,Jute,2063
Mizoram,Northeast,Alluvial,846,Kharif,0.1,Wheat,3223
Tamil Nadu,South,Loamy,697,Kharif,0.84,Sugarcane,67692
Punjab,North,Sandy,854,Kharif,0.1,Maize,3075
Haryana,North,Alluvial,377,Kharif,1.97,Cotton,2215
Maharashtra,West,Sandy,1000,Rabi,3.17,Potato,20537
Assam,Northeast,Red,1103,Rabi,2.21,Pulses,1031
Punjab,North,Laterite,664,Kharif,3.03,Oilseeds,1086
Rajasthan,West,Black (Regur),636,Rabi,1.25,Pulses,1072
Arunachal Pradesh,Northeast,Loamy,845,Rabi,1.42,Vegetables,20698
Uttar Pradesh,North,Alluvial,885,Zaid,1.8,Pulses,959
Uttarakhand,North,Laterite,1230,Rabi,0.1,Jute,2599
Himachal Pradesh,North,Laterite,1021,Kharif,0.61,Sugarcane,58996
Bihar,East,Laterite,836,Zaid,1.59,Oilseeds,1103
Chhattisgarh,Central,Loamy,801,Rabi,2.49,Wheat,3717
Mizoram,Northeast,Loamy,443,Kharif,3.06,Wheat,2587
Arunachal Pradesh,Northeast,Alluvial,1007,Kharif,1.14,Millets,1817
Andhra Pradesh,South,Laterite,985,Kharif,2.4,Jute,2391
Sikkim,Northeast,Red,1271,Kharif,1.1,Wheat,2629
Kerala,South,Loamy,735,Rabi,1.17,Potato,28064
Karnataka,South,Alluvial,835,Kharif,0.99,Rice,3178
Madhya Pradesh,Central,Sandy,780,Rabi,0.29,Jute,2267
Uttarakhand,North,Clay,1396,Kharif,1.17,Oilseeds,1094
Assam,Northeast,Black (Regur),740,Kharif,3.1,Oilseeds,1315
Haryana,North,Red,537,Zaid,2.67,Millets,1177
West Bengal,East,Alluvial,1159,Kharif,2.39,Maize,3535
Kerala,South,Alluvial,868,Kharif,0.94,Sugarcane,77319
Uttar Pradesh,North,Sandy,625,Kharif,0.46,Oilseeds,946
Karnataka,South,Black (Regur),415,Rabi,2.33,Sugarcane,74090
Goa,West,Loamy,499,Rabi,1.63,Oilseeds,1307
Bihar,East,Black (Regur),1326,Kharif,2.89,Pulses,821
Rajasthan,West,Clay,460,Kharif,0.52,Rice,2996
Sikkim,Northeast,Black (Regur),707,Rabi,1.77,Jute,2794
Uttar Pradesh,North,Black (Regur),1686,Rabi,0.1,Vegetables,14995
Mizoram,Northeast,Red,1539,Kharif,0.1,Rice,2669
Uttarakhand,North,Red,943,Rabi,3.36,Pulses,1012
Tamil Nadu,South,Sandy,975,Kharif,2.08,Sugarcane,56673
Kerala,South,Clay,976,Rabi,1.85,Rice,3218
Meghalaya,Northeast,Laterite,705,Kharif,0.53,Oilseeds,1223
Tamil Nadu,South,Laterite,406,Kharif,2.52,Pulses,747
Goa,West,Black (Regur),929,Rabi,2.91,Pulses,1184
Odisha,East,Sandy,631,Kharif,2.66,Wheat,2099
Telangana,South,Clay,781,Rabi,1.61,Vegetables,16958
Meghalaya,Northeast,Loamy,541,Kharif,0.1,Potato,23082
Karnataka,South,Black (Regur),420,Kharif,1.88,Pulses,871
Uttar Pradesh,North,Loamy,898,Zaid,0.1,Vegetables,15547
Rajasthan,West,Alluvial,772,Rabi,3.4,Rice,3648
Assam,Northeast,Clay,1063,Kharif,2.22,Potato,20855
Bihar,East,Loamy,385,Kharif,2.22,Potato,23847
Haryana,North,Clay,1680,Kharif,1.19,Vegetables,15649
Chhattisgarh,Central,Black (Regur),924,Rabi,2.79,Millets,1698
Odisha,East,Loamy,941,Kharif,1.14,Oilseeds,1333
Jharkhand,East,Sandy,778,Kharif,0.41,Potato,18241
West Bengal,East,Clay,567,Kharif,0.1,Millets,1554
Bihar,East,Clay,1416,Kharif,0.33,Jute,2060
Uttar Pradesh,North,Black (Regur),799,Kharif,0.7,Millets,1683
Gujarat,West,Laterite,939,Kharif,1.51,Wheat,2387
Bihar,East,Red,859,Kharif,2.27,Rice,3063
Arunachal Pradesh,Northeast,Clay,775,Kharif,1.14,Wheat,2696
Punjab,North,Loamy,1524,Rabi,0.98,Maize,3252
Manipur,Northeast,Black (Regur),847,Zaid,2.75,Millets,1568
Karnataka,South,Red,700,Rabi,2.22,Rice,3132
Uttarakhand,North,Black (Regur),991,Zaid,2.64,Millets,1486
Chhattisgarh,Central,Sandy,1305,Rabi,0.51,Wheat,2137
Assam,Northeast,Black (Regur),463,Kharif,1.53,Rice,3251
Sikkim,Northeast,Red,577,Zaid,0.85,Oilseeds,970
Madhya Pradesh,Central,Clay,944,Kharif,2.67,Oilseeds,1164
Nagaland,Northeast,Loamy,1862,Kharif,2.89,Millets,1338
Nagaland,Northeast,Clay,944,Kharif,0.1,Maize,3396
Madhya Pradesh,Central,Black (Regur),707,Rabi,0.67,Wheat,3657
Manipur,Northeast,Laterite,1121,Kharif,1.48,Pulses,776
Nagaland,Northeast,Clay,953,Rabi,1.45,Jute,2525
Uttar Pradesh,North,Laterite,735,Rabi,0.35,Millets,1674
Nagaland,Northeast,Alluvial,1175,Kharif,2.86,Oilseeds,1498
Punjab,North,Laterite,462,Kharif,0.1,Wheat,2373
Goa,West,Clay,362,Kharif,1.54,Cotton,1733
Gujarat,West,Loamy,531,Rabi,4.42,Vegetables,18223
Karnataka,South,Clay,950,Kharif,1.88,Potato,21442
Maharashtra,West,Laterite,977,Kharif,1.34,Wheat,2800
Rajasthan,West,Alluvial,931,Rabi,1.57,Wheat,3704
Odisha,East,Clay,745,Rabi,1.59,Maize,3799
Mizoram,Northeast,Laterite,1083,Rabi,1.68,Oilseeds,1275
Assam,Northeast,Red,716,Kharif,1.22,Sugarcane,71020
Punjab,North,Sandy,489,Kharif,1.88,Cotton,1542
Gujarat,West,Clay,715,Zaid,1.62,Millets,1537
Arunachal Pradesh,Northeast,Black (Regur),431,Kharif,0.1,Oilseeds,1087
Telangana,South,Laterite,751,Rabi,1.56,Cotton,2171
Odisha,East,Loamy,661,Rabi,3.35,Jute,2561
Haryana,North,Black (Regur),1256,Rabi,2.21,Rice,3922
Chhattisgarh,Central,Laterite,1213,Kharif,2.95,Millets,1377
Himachal Pradesh,North,Loamy,872,Rabi,2.07,Oilseeds,1484
Goa,West,Red,1005,Rabi,0.1,Vegetables,18980
Odisha,East,Alluvial,308,Kharif,1.17,Cotton,2128
Uttarakhand,North,Black (Regur),905,Rabi,2.57,Vegetables,18326
Odisha,East,Alluvial,1788,Kharif,2.51,Sugarcane,58347
Mizoram,Northeast,Loamy,687,Rabi,1.76,Sugarcane,77072
Tamil Nadu,South,Laterite,976,Kharif,5.93,Rice,2823
Jharkhand,East,Sandy,1226,Rabi,1.7,Maize,3376
Madhya Pradesh,Central,Loamy,501,Kharif,0.1,Wheat,2806
Tamil Nadu,South,Black (Regur),767,Rabi,0.1,Vegetables,20546
Uttar Pradesh,North,Red,1580,Rabi,2.48,Millets,1372
Arunachal Pradesh,Northeast,Sandy,610,Kharif,2.79,Wheat,2288
Tripura,Northeast,Laterite,609,Kharif,0.1,Vegetables,14695
Tamil Nadu,South,Laterite,1184,Kharif,0.65,Pulses,812
Assam,Northeast,Sandy,1238,Kharif,2.82,Millets,1425
Jharkhand,East,Loamy,1157,Zaid,0.1,Wheat,2679
Manipur,Northeast,Laterite,1039,Kharif,1.34,Potato,19176
Chhattisgarh,Central,Sandy,1208,Zaid,1.68,Millets,1214
Chhattisgarh,Central,Loamy,872,Rabi,1.92,Cotton,2661
Mizoram,Northeast,Red,979,Rabi,0.15,Millets,1710
Uttarakhand,North,Sandy,945,Kharif,0.79,Potato,18562
Kerala,South,Alluvial,739,Kharif,4.43,Vegetables,20047
Tamil Nadu,South,Laterite,743,Rabi,0.1,Maize,3101
Bihar,East,Laterite,761,Kharif,2.09,Rice,2928
Kerala,South,Laterite,948,Kharif,1.69,Oilseeds,1194
Manipur,Northeast,Loamy,467,Kharif,1.42,Potato,22454
Jharkhand,East,Sandy,1048,Rabi,0.1,Oilseeds,1140
Bihar,East,Laterite,949,Rabi,1.68,Vegetables,17765
Manipur,Northeast,Sandy,715,Rabi,1.07,Potato,20284
Assam,Northeast,Loamy,1197,Zaid,1.32,Oilseeds,1180
Punjab,North,Loamy,1251,Kharif,3.39,Jute,2659
Andhra Pradesh,South,Black (Regur),1312,Rabi,2.51,Oilseeds,1307
Maharashtra,West,Clay,1287,Rabi,0.34,Pulses,964
Odisha,East,Red,1493,Kharif,0.1,Wheat,2601
Odisha,East,Black (Regur),872,Rabi,2.24,Oilseeds,1516
Tripura,Northeast,Clay,816,Kharif,1.38,Potato,24645
Jharkhand,East,Laterite,1134,Kharif,1.51,Millets,1512
Meghalaya,Northeast,Red,442,Kharif,1.59,Cotton,1634
Tripura,Northeast,Alluvial,678,Rabi,2.55,Pulses,1110
Rajasthan,West,Clay,508,Kharif,1.38,Potato,19490
Arunachal Pradesh,Northeast,Loamy,1024,Kharif,2.32,Pulses,1048
Kerala,South,Loamy,390,Zaid,1.32,Maize,3111
Punjab,North,Clay,1202,Kharif,0.1,Potato,23956
Tamil Nadu,South,Red,1261,Rabi,1.62,Jute,2780
Maharashtra,West,Alluvial,333,Kharif,1.45,Sugarcane,69465
Uttarakhand,North,Loamy,905,Rabi,0.91,Oilseeds,1621
Bihar,East,Black (Regur),840,Kharif,0.89,Oilseeds,1426
Punjab,North,Laterite,1441,Rabi,1.9,Cotton,1649
Tamil Nadu,South,Laterite,1213,Kharif,1.35,Wheat,2422
Tripura,Northeast,Laterite,996,Kharif,0.11,Rice,2817
Himachal Pradesh,North,Alluvial,1036,Rabi,0.1,Cotton,2585
Gujarat,West,Alluvial,894,Kharif,0.53,Vegetables,17917
Goa,West,Sandy,776,Kharif,1.27,Vegetables,15031
Mizoram,Northeast,Red,900,Kharif,1.39,Wheat,3029
Mizoram,Northeast,Loamy,198,Rabi,2.62,Maize,3244
Madhya Pradesh,Central,Black (Regur),1053,Kharif,1.44,Wheat,3099
Meghalaya,Northeast,Sandy,1204,Rabi,2.19,Pulses,845
Punjab,North,Clay,665,Kharif,1.17,Pulses,801
Assam,Northeast,Loamy,1347,Kharif,1.64,Millets,1342
Manipur,Northeast,Alluvial,574,Kharif,2.44,Wheat,3067
Goa,West,Red,1070,Kharif,0.49,Cotton,2129
Telangana,South,Clay,823,Rabi,3.6,Millets,1886
Kerala,South,Black (Regur),731,Zaid,1.45,Oilseeds,1097
Himachal Pradesh,North,Laterite,856,Kharif,0.1,Oilseeds,1174
Goa,West,Laterite,537,Kharif,0.1,Millets,1347
Tripura,Northeast,Red,666,Rabi,1.56,Jute,2530
Nagaland,Northeast,Alluvial,1010,Zaid,1.09,Oilseeds,1201
Madhya Pradesh,Central,Laterite,1062,Rabi,0.72,Maize,3320
Chhattisgarh,Central,Clay,699,Kharif,0.1,Millets,1436
Meghalaya,Northeast,Sandy,866,Kharif,3.1,Pulses,822
Kerala,South,Alluvial,1448,Kharif,2.14,Jute,2523
Odisha,East,Red,61,Kharif,3.13,Pulses,663
Sikkim,Northeast,Red,993,Rabi,1.26,Potato,22278
Goa,West,Black (Regur),581,Rabi,2.18,Pulses,941
Tamil Nadu,South,Red,598,Kharif,2.49,Oilseeds,996
Sikkim,Northeast,Clay,678,Rabi,2.9,Jute,2743
Gujarat,West,Clay,1022,Kharif,0.83,Potato,21009
Odisha,East,Loamy,820,Zaid,0.1,Vegetables,15796
Assam,Northeast,Black (Regur),1023,Kharif,0.1,Potato,24277
Jharkhand,East,Laterite,897,Kharif,2.94,Millets,1492
Goa,West,Sandy,716,Rabi,1.11,Oilseeds,1123
Rajasthan,West,Clay,1342,Zaid,0.73,Rice,2440
Kerala,South,Loamy,800,Rabi,2.72,Jute,3209
Assam,Northeast,Red,759,Rabi,0.77,Vegetables,16629
Haryana,North,Laterite,771,Rabi,2.78,Pulses,920
Arunachal Pradesh,Northeast,Alluvial,1045,Kharif,0.1,Maize,3802
Arunachal Pradesh,Northeast,Alluvial,1107,Kharif,0.87,Potato,27275
Maharashtra,West,Alluvial,1208,Kharif,0.1,Cotton,2130
Telangana,South,Loamy,1560,Rabi,0.64,Potato,23505
Assam,Northeast,Clay,1142,Kharif,0.1,Cotton,2282
Gujarat,West,Red,889,Kharif,3.1,Oilseeds,1205
Tamil Nadu,South,Black (Regur),905,Kharif,2.47,Maize,3431
Tamil Nadu,South,Loamy,446,Zaid,0.1,Millets,1467
Arunachal Pradesh,Northeast,Laterite,579,Kharif,2.64,Jute,2217
Sikkim,Northeast,Clay,1662,Kharif,1.65,Potato,19011
Uttarakhand,North,Clay,1266,Rabi,0.65,Millets,1700
Arunachal Pradesh,Northeast,Clay,595,Zaid,1.72,Jute,2141
Uttarakhand,North,Red,656,Kharif,2.81,Sugarcane,61452
Manipur,Northeast,Loamy,536,Rabi,0.1,Maize,3252
Gujarat,West,Alluvial,901,Kharif,3.4,Millets,1823
