state,region,soil_type,rainfall_mm,season,area_ha,crop_name
Goa,West,Black (Regur),790,Rabi,2.53,Cotton
West Bengal,East,Clay,1497,Kharif,3.22,Rice
Uttarakhand,North,Laterite,693,Kharif,0.74,Oilseeds
Telangana,South,Clay,967,Rabi,0.54,Maize
Goa,West,Sandy,434,Rabi,0.85,Pulses
Punjab,North,Clay,948,Kharif,2.34,Maize
Punjab,North,Alluvial,1729,Rabi,1.19,Sugarcane
Gujarat,West,Red,499,Kharif,0.1,Millets
Goa,West,Alluvial,1069,Rabi,0.1,Vegetables
Sikkim,Northeast,Clay,1444,Kharif,0.62,Rice
Andhra Pradesh,South,Loamy,981,Kharif,0.79,Potato
Chhattisgarh,Central,Laterite,712,Kharif,1.21,Oilseeds
West Bengal,East,Loamy,923,Rabi,1.17,Potato
Arunachal Pradesh,Northeast,Clay,1420,Zaid,2.9,Rice
Gujarat,West,Red,475,Kharif,3.18,Millets
Odisha,East,Red,492,Rabi,2.73,Millets
Goa,West,Alluvial,1144,Kharif,1.28,Vegetables
Andhra Pradesh,South,Red,420,Kharif,0.8,Millets
Sikkim,Northeast,Black (Regur),947,Kharif,0.47,Cotton
Mizoram,Northeast,Black (Regur),827,Kharif,2.13,Cotton
Karnataka,South,Red,655,Rabi,1.74,Millets
Sikkim,Northeast,Red,561,Rabi,0.1,Millets
Madhya Pradesh,Central,Alluvial,1929,Kharif,1.24,Sugarcane
Kerala,South,Alluvial,1794,Kharif,1.03,Sugarcane
Bihar,East,Red,452,Kharif,0.91,Millets
West Bengal,East,Sandy,435,Kharif,0.1,Pulses
Assam,Northeast,Clay,783,Rabi,1.61,Maize
Nagaland,Northeast,Alluvial,1583,Kharif,1.87,Jute
Sikkim,Northeast,Loamy,700,Rabi,0.1,Wheat
Mizoram,Northeast,Sandy,456,Rabi,4.19,Pulses
Sikkim,Northeast,Alluvial,1593,Kharif,2.86,Sugarcane
Rajasthan,West,Clay,1556,Rabi,0.1,Rice
Nagaland,Northeast,Loamy,677,Rabi,0.83,Potato
Telangana,South,Clay,884,Zaid,0.97,Maize
Uttarakhand,North,Alluvial,1948,Rabi,0.1,Sugarcane
Nagaland,Northeast,Alluvial,1778,Kharif,0.13,Jute
Sikkim,Northeast,Alluvial,1795,Kharif,2.8,Jute
Jharkhand,East,Clay,1511,Kharif,2.66,Rice
Uttar Pradesh,North,Alluvial,1629,Kharif,2.9,Jute
Manipur,Northeast,Loamy,843,Rabi,2.96,Potato
Chhattisgarh,Central,Clay,1469,Rabi,1.72,Rice
Rajasthan,West,Loamy,667,Rabi,1.82,Potato
Nagaland,Northeast,Loamy,808,Kharif,0.49,Potato
Mizoram,Northeast,Alluvial,814,Kharif,4.59,Vegetables
Tripura,Northeast,Clay,716,Rabi,0.52,Maize
Meghalaya,Northeast,Clay,1209,Kharif,1.94,Rice
Mizoram,Northeast,Red,626,Zaid,1.27,Millets
Tamil Nadu,South,Clay,975,Rabi,3,Maize
Madhya Pradesh,Central,Black (Regur),1062,Kharif,4.72,Cotton
Kerala,South,Clay,887,Kharif,0.64,Maize
Haryana,North,Loamy,678,Kharif,2.86,Wheat
Maharashtra,West,Red,447,Rabi,1.71,Millets
Andhra Pradesh,South,Alluvial,1062,Kharif,1.25,Vegetables
Goa,West,Red,642,Rabi,1.41,Millets
Assam,Northeast,Alluvial,1072,Rabi,3.48,Vegetables
Odisha,East,Laterite,728,Kharif,3.09,Oilseeds
Assam,Northeast,Red,685,Kharif,1.13,Millets
Chhattisgarh,Central,Loamy,816,Rabi,0.47,Wheat
Sikkim,Northeast,Sandy,545,Kharif,0.81,Pulses
Kerala,South,Sandy,495,Kharif,0.1,Pulses
Uttar Pradesh,North,Black (Regur),829,Rabi,1.92,Cotton
Assam,Northeast,Clay,1350,Kharif,1.57,Rice
Bihar,East,Clay,823,Rabi,2.54,Maize
Odisha,East,Sandy,310,Rabi,0.1,Pulses
Maharashtra,West,Loamy,763,Kharif,1.19,Potato
Tripura,Northeast,Clay,933,Rabi,2.09,Maize
Mizoram,Northeast,Sandy,542,Rabi,1.14,Pulses
Andhra Pradesh,South,Black (Regur),745,Zaid,1.67,Cotton
Punjab,North,Alluvial,1150,Rabi,1.25,Vegetables
Tripura,Northeast,Alluvial,1682,Kharif,0.1,Sugarcane
Arunachal Pradesh,Northeast,Black (Regur),811,Kharif,1.78,Cotton
Goa,West,Alluvial,1893,Kharif,2.48,Sugarcane
Tamil Nadu,South,Alluvial,1362,Rabi,0.92,Jute
Himachal Pradesh,North,Sandy,328,Zaid,1.08,Pulses
Nagaland,Northeast,Alluvial,1149,Rabi,0.84,Vegetables
Manipur,Northeast,Red,670,Kharif,3.25,Millets
Odisha,East,Red,680,Kharif,0.1,Millets
Uttar Pradesh,North,Loamy,707,Kharif,0.61,Potato
Sikkim,Northeast,Alluvial,1003,Zaid,1.66,Vegetables
Telangana,South,Loamy,763,Rabi,2.39,Potato
Gujarat,West,Red,589,Kharif,3.18,Millets
Meghalaya,Northeast,Alluvial,1374,Zaid,0.56,Jute
Odisha,East,Alluvial,933,Zaid,2.34,Vegetables
Mizoram,Northeast,Clay,789,Kharif,3.45,Maize
Bihar,East,Loamy,651,Kharif,0.46,Wheat
Punjab,North,Alluvial,1466,Kharif,1.8,Jute
Maharashtra,West,Alluvial,1191,Kharif,2.27,Vegetables
Odisha,East,Sandy,483,Kharif,2.77,Pulses
Uttar Pradesh,North,Red,500,Kharif,1.81,Millets
Telangana,South,Clay,817,Rabi,1,Maize
Uttarakhand,North,Alluvial,1833,Kharif,2.48,Sugarcane
Uttar Pradesh,North,Alluvial,976,Kharif,0.1,Vegetables
Rajasthan,West,Laterite,636,Kharif,0.27,Oilseeds
Madhya Pradesh,Central,Sandy,482,Rabi,0.1,Pulses
Odisha,East,Loamy,662,Kharif,2.54,Potato
Punjab,North,Alluvial,1766,Rabi,0.75,Sugarcane
Maharashtra,West,Loamy,649,Rabi,0.1,Wheat
Madhya Pradesh,Central,Loamy,827,Kharif,1.7,Wheat
Punjab,North,Red,468,Kharif,2.48,Millets
Mizoram,Northeast,Laterite,705,Kharif,0.28,Oilseeds
Nagaland,Northeast,Alluvial,1084,Zaid,0.79,Vegetables
Telangana,South,Laterite,642,Rabi,0.95,Oilseeds
Uttar Pradesh,North,Clay,818,Kharif,1.52,Maize
Meghalaya,Northeast,Sandy,424,Zaid,1.52,Pulses
Punjab,North,Black (Regur),1030,Kharif,0.63,Cotton
Telangana,South,Alluvial,1124,Kharif,1.92,Vegetables
Sikkim,Northeast,Clay,836,Rabi,2.72,Maize
Bihar,East,Clay,876,Rabi,1.55,Maize
Nagaland,Northeast,Black (Regur),844,Kharif,0.1,Cotton
Andhra Pradesh,South,Clay,1255,Rabi,1.51,Rice
Uttarakhand,North,Black (Regur),1021,Rabi,2.09,Cotton
Himachal Pradesh,North,Laterite,735,Zaid,0.35,Oilseeds
Arunachal Pradesh,Northeast,Red,496,Kharif,1.35,Millets
Karnataka,South,Red,597,Zaid,1.38,Millets
Kerala,South,Clay,1263,Zaid,2.78,Rice
Himachal Pradesh,North,Laterite,525,Kharif,2.05,Oilseeds
Chhattisgarh,Central,Red,534,Kharif,0.5,Millets
Kerala,South,Alluvial,1957,Kharif,1.58,Sugarcane
Tripura,Northeast,Clay,829,Kharif,0.45,Maize
Arunachal Pradesh,Northeast,Alluvial,1838,Kharif,1.6,Sugarcane
Telangana,South,Clay,920,Zaid,1.35,Maize
Uttarakhand,North,Clay,1366,Rabi,1.43,Rice
Kerala,South,Black (Regur),770,Kharif,1.05,Cotton
Meghalaya,Northeast,Alluvial,1755,Kharif,1.05,Sugarcane
Arunachal Pradesh,Northeast,Clay,1236,Kharif,1.99,Rice
Uttarakhand,North,Alluvial,931,Rabi,2.65,Vegetables
Andhra Pradesh,South,Red,468,Zaid,0.33,Millets
Nagaland,Northeast,Loamy,698,Kharif,0.1,Potato
Telangana,South,Alluvial,1870,Zaid,2.61,Sugarcane
Gujarat,West,Loamy,826,Zaid,0.95,Wheat
Odisha,East,Alluvial,1846,Kharif,2.79,Sugarcane
Karnataka,South,Alluvial,1766,Kharif,2.34,Jute
Maharashtra,West,Sandy,373,Kharif,3,Pulses
Telangana,South,Loamy,833,Zaid,1.5,Potato
Mizoram,Northeast,Clay,1335,Kharif,3.82,Rice
Tamil Nadu,South,Clay,1484,Rabi,1.19,Rice
Chhattisgarh,Central,Alluvial,924,Kharif,2.51,Vegetables
Gujarat,West,Alluvial,869,Kharif,1.69,Vegetables
Bihar,East,Alluvial,1464,Rabi,2.91,Jute
Uttarakhand,North,Alluvial,916,Rabi,3.23,Vegetables
Rajasthan,West,Alluvial,1383,Kharif,2.9,Jute
Haryana,North,Loamy,815,Zaid,0.1,Wheat
Jharkhand,East,Sandy,371,Kharif,1.33,Pulses
Madhya Pradesh,Central,Sandy,444,Rabi,1.6,Pulses
Gujarat,West,Alluvial,1661,Kharif,2.4,Jute
Odisha,East,Red,530,Kharif,2.53,Millets
Jharkhand,East,Clay,1572,Zaid,1.74,Rice
Haryana,North,Black (Regur),971,Rabi,2.51,Cotton
Chhattisgarh,Central,Laterite,741,Kharif,0.54,Oilseeds
Gujarat,West,Clay,770,Kharif,2.88,Maize
Sikkim,Northeast,Black (Regur),1084,Kharif,1.92,Cotton
Punjab,North,Red,541,Kharif,0.1,Millets
Bihar,East,Loamy,650,Kharif,1.32,Wheat
Meghalaya,Northeast,Clay,1200,Kharif,1.18,Rice
Mizoram,Northeast,Red,432,Kharif,2.42,Millets
Mizoram,Northeast,Clay,1595,Rabi,0.1,Rice
Himachal Pradesh,North,Red,451,Rabi,2.12,Millets
Rajasthan,West,Alluvial,1475,Kharif,1.02,Jute
Chhattisgarh,Central,Alluvial,1657,Rabi,2.13,Sugarcane
Maharashtra,West,Loamy,849,Rabi,1.22,Wheat
Telangana,South,Sandy,521,Rabi,0.1,Pulses
Jharkhand,East,Loamy,642,Zaid,3.56,Wheat
Andhra Pradesh,South,Black (Regur),800,Rabi,0.45,Cotton
Kerala,South,Alluvial,1755,Kharif,0.34,Jute
Madhya Pradesh,Central,Loamy,625,Kharif,3.22,Potato
Haryana,North,Laterite,562,Kharif,4.18,Oilseeds
Meghalaya,Northeast,Sandy,378,Kharif,0.1,Pulses
Madhya Pradesh,Central,Clay,1421,Kharif,0.1,Rice
Manipur,Northeast,Alluvial,1527,Kharif,2.69,Sugarcane
Tripura,Northeast,Loamy,887,Kharif,0.13,Potato
Maharashtra,West,Laterite,600,Kharif,3.26,Oilseeds
Mizoram,Northeast,Clay,1339,Kharif,2.16,Rice
Odisha,East,Clay,888,Kharif,3.05,Maize
Bihar,East,Alluvial,1856,Kharif,1.32,Sugarcane
Goa,West,Clay,710,Kharif,3.59,Maize
Chhattisgarh,Central,Loamy,915,Kharif,0.1,Potato
Bihar,East,Laterite,509,Rabi,2.83,Oilseeds
Andhra Pradesh,South,Loamy,847,Rabi,1.69,Wheat
Andhra Pradesh,South,Clay,878,Rabi,0.76,Maize
Rajasthan,West,Loamy,720,Rabi,0.64,Wheat
Maharashtra,West,Alluvial,1556,Rabi,0.1,Sugarcane
Manipur,Northeast,Sandy,373,Kharif,2.6,Pulses
Tripura,Northeast,Alluvial,1397,Kharif,3.15,Jute
Mizoram,Northeast,Loamy,617,Kharif,0.1,Wheat
Tamil Nadu,South,Alluvial,1944,Kharif,0.84,Sugarcane
Punjab,North,Clay,866,Kharif,0.1,Maize
Haryana,North,Black (Regur),828,Kharif,1.97,Cotton
Maharashtra,West,Loamy,862,Rabi,3.17,Potato
Assam,Northeast,Sandy,549,Rabi,2.21,Pulses
Punjab,North,Laterite,558,Kharif,3.03,Oilseeds
Rajasthan,West,Sandy,375,Rabi,1.25,Pulses
Arunachal Pradesh,Northeast,Alluvial,891,Rabi,1.42,Vegetables
Uttar Pradesh,North,Sandy,342,Zaid,1.8,Pulses
Uttarakhand,North,Alluvial,1324,Rabi,0.1,Jute
Himachal Pradesh,North,Alluvial,1931,Kharif,0.61,Sugarcane
Bihar,East,Laterite,775,Zaid,1.59,Oilseeds
Chhattisgarh,Central,Loamy,721,Rabi,2.49,Wheat
Mizoram,Northeast,Loamy,819,Kharif,3.06,Wheat
Arunachal Pradesh,Northeast,Red,452,Kharif,1.14,Millets
Andhra Pradesh,South,Alluvial,1419,Kharif,2.4,Jute
Sikkim,Northeast,Loamy,874,Kharif,1.1,Wheat
Kerala,South,Loamy,670,Rabi,1.17,Potato
Karnataka,South,Clay,1518,Kharif,0.99,Rice
Madhya Pradesh,Central,Alluvial,1601,Rabi,0.29,Jute
Uttarakhand,North,Laterite,722,Kharif,1.17,Oilseeds
Assam,Northeast,Laterite,502,Kharif,3.1,Oilseeds
Haryana,North,Red,402,Zaid,2.67,Millets
West Bengal,East,Clay,706,Kharif,2.39,Maize
Kerala,South,Alluvial,1858,Kharif,0.94,Sugarcane
Uttar Pradesh,North,Laterite,643,Kharif,0.46,Oilseeds
Karnataka,South,Alluvial,1625,Rabi,2.33,Sugarcane
Goa,West,Laterite,527,Rabi,1.63,Oilseeds
Bihar,East,Sandy,415,Kharif,2.89,Pulses
Rajasthan,West,Clay,1535,Kharif,0.52,Rice
Sikkim,Northeast,Alluvial,1694,Rabi,1.77,Jute
Uttar Pradesh,North,Alluvial,867,Rabi,0.1,Vegetables
Mizoram,Northeast,Clay,1462,Kharif,0.1,Rice
Uttarakhand,North,Sandy,509,Rabi,3.36,Pulses
Tamil Nadu,South,Alluvial,1883,Kharif,2.08,Sugarcane
Kerala,South,Clay,1563,Rabi,1.85,Rice
Meghalaya,Northeast,Laterite,785,Kharif,0.53,Oilseeds
Tamil Nadu,South,Sandy,453,Kharif,2.52,Pulses
Goa,West,Sandy,386,Rabi,2.91,Pulses
Odisha,East,Loamy,834,Kharif,2.66,Wheat
Telangana,South,Alluvial,1164,Rabi,1.61,Vegetables
Meghalaya,Northeast,Loamy,977,Kharif,0.1,Potato
Karnataka,South,Sandy,477,Kharif,1.88,Pulses
Uttar Pradesh,North,Alluvial,994,Zaid,0.1,Vegetables
Rajasthan,West,Clay,1264,Rabi,3.4,Rice
Assam,Northeast,Loamy,969,Kharif,2.22,Potato
Bihar,East,Loamy,627,Kharif,2.22,Potato
Haryana,North,Alluvial,964,Kharif,1.19,Vegetables
Chhattisgarh,Central,Red,456,Rabi,2.79,Millets
Odisha,East,Laterite,559,Kharif,1.14,Oilseeds
Jharkhand,East,Loamy,613,Kharif,0.41,Potato
West Bengal,East,Red,650,Kharif,0.1,Millets
Bihar,East,Alluvial,1513,Kharif,0.33,Jute
Uttar Pradesh,North,Red,645,Kharif,0.7,Millets
Gujarat,West,Loamy,673,Kharif,1.51,Wheat
Bihar,East,Clay,1265,Kharif,2.27,Rice
Arunachal Pradesh,Northeast,Loamy,832,Kharif,1.14,Wheat
Punjab,North,Clay,745,Rabi,0.98,Maize
Manipur,Northeast,Red,401,Zaid,2.75,Millets
Karnataka,South,Clay,1282,Rabi,2.22,Rice
Uttarakhand,North,Red,578,Zaid,2.64,Millets
Chhattisgarh,Central,Loamy,791,Rabi,0.51,Wheat
Assam,Northeast,Clay,1525,Kharif,1.53,Rice
Sikkim,Northeast,Laterite,689,Zaid,0.85,Oilseeds
Madhya Pradesh,Central,Laterite,697,Kharif,2.67,Oilseeds
Nagaland,Northeast,Red,545,Kharif,2.89,Millets
Nagaland,Northeast,Clay,944,Kharif,0.1,Maize
Madhya Pradesh,Central,Loamy,817,Rabi,0.67,Wheat
Manipur,Northeast,Sandy,349,Kharif,1.48,Pulses
Nagaland,Northeast,Alluvial,1662,Rabi,1.45,Jute
Uttar Pradesh,North,Red,678,Rabi,0.35,Millets
Nagaland,Northeast,Laterite,746,Kharif,2.86,Oilseeds
Punjab,North,Loamy,673,Kharif,0.1,Wheat
Goa,West,Black (Regur),952,Kharif,1.54,Cotton
Gujarat,West,Alluvial,1011,Rabi,4.42,Vegetables
Karnataka,South,Loamy,999,Kharif,1.88,Potato
Maharashtra,West,Loamy,624,Kharif,1.34,Wheat
Rajasthan,West,Loamy,665,Rabi,1.57,Wheat
Odisha,East,Clay,914,Rabi,1.59,Maize
Mizoram,Northeast,Laterite,579,Rabi,1.68,Oilseeds
Assam,Northeast,Alluvial,1744,Kharif,1.22,Sugarcane
Punjab,North,Black (Regur),707,Kharif,1.88,Cotton
Gujarat,West,Red,584,Zaid,1.62,Millets
Arunachal Pradesh,Northeast,Laterite,647,Kharif,0.1,Oilseeds
Telangana,South,Black (Regur),986,Rabi,1.56,Cotton
Odisha,East,Alluvial,1303,Rabi,3.35,Jute
Haryana,North,Clay,1530,Rabi,2.21,Rice
Chhattisgarh,Central,Red,546,Kharif,2.95,Millets
Himachal Pradesh,North,Laterite,644,Rabi,2.07,Oilseeds
Goa,West,Alluvial,1076,Rabi,0.1,Vegetables
Odisha,East,Black (Regur),1020,Kharif,1.17,Cotton
Uttarakhand,North,Alluvial,1114,Rabi,2.57,Vegetables
Odisha,East,Alluvial,1802,Kharif,2.51,Sugarcane
Mizoram,Northeast,Alluvial,1646,Rabi,1.76,Sugarcane
Tamil Nadu,South,Clay,1203,Kharif,5.93,Rice
Jharkhand,East,Clay,971,Rabi,1.7,Maize
Madhya Pradesh,Central,Loamy,833,Kharif,0.1,Wheat
Tamil Nadu,South,Alluvial,933,Rabi,0.1,Vegetables
Uttar Pradesh,North,Red,540,Rabi,2.48,Millets
Arunachal Pradesh,Northeast,Loamy,718,Kharif,2.79,Wheat
Tripura,Northeast,Alluvial,908,Kharif,0.1,Vegetables
Tamil Nadu,South,Sandy,595,Kharif,0.65,Pulses
Assam,Northeast,Red,480,Kharif,2.82,Millets
Jharkhand,East,Loamy,789,Zaid,0.1,Wheat
Manipur,Northeast,Loamy,628,Kharif,1.34,Potato
Chhattisgarh,Central,Red,643,Zaid,1.68,Millets
Chhattisgarh,Central,Black (Regur),878,Rabi,1.92,Cotton
Mizoram,Northeast,Red,683,Rabi,0.15,Millets
Uttarakhand,North,Loamy,682,Kharif,0.79,Potato
Kerala,South,Alluvial,1189,Kharif,4.43,Vegetables
Tamil Nadu,South,Clay,710,Rabi,0.1,Maize
Bihar,East,Clay,1475,Kharif,2.09,Rice
Kerala,South,Laterite,758,Kharif,1.69,Oilseeds
Manipur,Northeast,Loamy,827,Kharif,1.42,Potato
Jharkhand,East,Laterite,728,Rabi,0.1,Oilseeds
Bihar,East,Alluvial,974,Rabi,1.68,Vegetables
Manipur,Northeast,Loamy,669,Rabi,1.07,Potato
Assam,Northeast,Laterite,726,Zaid,1.32,Oilseeds
Punjab,North,Alluvial,1610,Kharif,3.39,Jute
Andhra Pradesh,South,Laterite,568,Rabi,2.51,Oilseeds
Maharashtra,West,Sandy,505,Rabi,0.34,Pulses
Odisha,East,Loamy,754,Kharif,0.1,Wheat
Odisha,East,Laterite,548,Rabi,2.24,Oilseeds
Tripura,Northeast,Loamy,713,Kharif,1.38,Potato
Jharkhand,East,Red,438,Kharif,1.51,Millets
Meghalaya,Northeast,Black (Regur),780,Kharif,1.59,Cotton
Tripura,Northeast,Sandy,523,Rabi,2.55,Pulses
Rajasthan,West,Loamy,884,Kharif,1.38,Potato
Arunachal Pradesh,Northeast,Sandy,497,Kharif,2.32,Pulses
Kerala,South,Clay,864,Zaid,1.32,Maize
Punjab,North,Loamy,776,Kharif,0.1,Potato
Tamil Nadu,South,Alluvial,1308,Rabi,1.62,Jute
Maharashtra,West,Alluvial,1578,Kharif,1.45,Sugarcane
Uttarakhand,North,Laterite,785,Rabi,0.91,Oilseeds
Bihar,East,Laterite,757,Kharif,0.89,Oilseeds
Punjab,North,Black (Regur),752,Rabi,1.9,Cotton
Tamil Nadu,South,Loamy,874,Kharif,1.35,Wheat
Tripura,Northeast,Clay,1497,Kharif,0.11,Rice
Himachal Pradesh,North,Black (Regur),867,Rabi,0.1,Cotton
Gujarat,West,Alluvial,1113,Kharif,0.53,Vegetables
Goa,West,Alluvial,944,Kharif,1.27,Vegetables
Mizoram,Northeast,Loamy,639,Kharif,1.39,Wheat
Mizoram,Northeast,Clay,804,Rabi,2.62,Maize
Madhya Pradesh,Central,Loamy,687,Kharif,1.44,Wheat
Meghalaya,Northeast,Sandy,564,Rabi,2.19,Pulses
Punjab,North,Sandy,420,Kharif,1.17,Pulses
Assam,Northeast,Red,403,Kharif,1.64,Millets
Manipur,Northeast,Loamy,821,Kharif,2.44,Wheat
Goa,West,Black (Regur),913,Kharif,0.49,Cotton
Telangana,South,Red,545,Rabi,3.6,Millets
Kerala,South,Laterite,583,Zaid,1.45,Oilseeds
Himachal Pradesh,North,Laterite,788,Kharif,0.1,Oilseeds
Goa,West,Red,692,Kharif,0.1,Millets
Tripura,Northeast,Alluvial,1533,Rabi,1.56,Jute
Nagaland,Northeast,Laterite,561,Zaid,1.09,Oilseeds
Madhya Pradesh,Central,Clay,877,Rabi,0.72,Maize
Chhattisgarh,Central,Red,456,Kharif,0.1,Millets
Meghalaya,Northeast,Sandy,321,Kharif,3.1,Pulses
Kerala,South,Alluvial,1778,Kharif,2.14,Jute
Odisha,East,Sandy,507,Kharif,3.13,Pulses
Sikkim,Northeast,Loamy,699,Rabi,1.26,Potato
Goa,West,Sandy,363,Rabi,2.18,Pulses
Tamil Nadu,South,Laterite,639,Kharif,2.49,Oilseeds
Sikkim,Northeast,Alluvial,1741,Rabi,2.9,Jute
Gujarat,West,Loamy,980,Kharif,0.83,Potato
Odisha,East,Alluvial,1117,Zaid,0.1,Vegetables
Assam,Northeast,Loamy,773,Kharif,0.1,Potato
Jharkhand,East,Red,678,Kharif,2.94,Millets
Goa,West,Laterite,763,Rabi,1.11,Oilseeds
Rajasthan,West,Clay,1570,Zaid,0.73,Rice
Kerala,South,Alluvial,1402,Rabi,2.72,Jute
Assam,Northeast,Alluvial,1197,Rabi,0.77,Vegetables
Haryana,North,Sandy,481,Rabi,2.78,Pulses
Arunachal Pradesh,Northeast,Clay,746,Kharif,0.1,Maize
Arunachal Pradesh,Northeast,Loamy,673,Kharif,0.87,Potato
Maharashtra,West,Black (Regur),892,Kharif,0.1,Cotton
Telangana,South,Loamy,882,Rabi,0.64,Potato
Assam,Northeast,Black (Regur),1022,Kharif,0.1,Cotton
Gujarat,West,Laterite,595,Kharif,3.1,Oilseeds
Tamil Nadu,South,Clay,964,Kharif,2.47,Maize
Tamil Nadu,South,Red,511,Zaid,0.1,Millets
Arunachal Pradesh,Northeast,Alluvial,1578,Kharif,2.64,Jute
Sikkim,Northeast,Loamy,793,Kharif,1.65,Potato
Uttarakhand,North,Red,498,Rabi,0.65,Millets
Arunachal Pradesh,Northeast,Alluvial,1341,Zaid,1.72,Jute
Uttarakhand,North,Alluvial,1767,Kharif,2.81,Sugarcane
Manipur,Northeast,Clay,927,Rabi,0.1,Maize
Gujarat,West,Red,607,Kharif,3.4,Millets
West Bengal,East,Clay,768,Kharif,1.04,Maize
Uttarakhand,North,Alluvial,1013,Kharif,3.73,Vegetables
Andhra Pradesh,South,Loamy,903,Kharif,2.21,Potato
Goa,West,Alluvial,911,Kharif,2.11,Vegetables
Tamil Nadu,South,Black (Regur),731,Rabi,1.53,Cotton
West Bengal,East,Alluvial,1023,Kharif,3.23,Vegetables
Uttarakhand,North,Loamy,933,Kharif,1.22,Potato
Manipur,Northeast,Alluvial,1554,Rabi,2.19,Jute
Madhya Pradesh,Central,Alluvial,1909,Kharif,1.23,Sugarcane
Karnataka,South,Alluvial,928,Zaid,0.33,Vegetables
Uttar Pradesh,North,Clay,921,Kharif,1.25,Maize
Nagaland,Northeast,Clay,703,Kharif,0.46,Maize
Tamil Nadu,South,Loamy,745,Kharif,1.31,Potato
Maharashtra,West,Sandy,478,Rabi,0.86,Pulses
Karnataka,South,Laterite,547,Rabi,0.7,Oilseeds
Chhattisgarh,Central,Laterite,563,Kharif,0.26,Oilseeds
Kerala,South,Loamy,774,Kharif,0.1,Wheat
Gujarat,West,Red,581,Rabi,0.11,Millets
Odisha,East,Laterite,556,Rabi,1.74,Oilseeds
Karnataka,South,Loamy,821,Kharif,3.47,Wheat
Chhattisgarh,Central,Alluvial,977,Rabi,2.35,Vegetables
Karnataka,South,Alluvial,969,Kharif,0.1,Vegetables
West Bengal,East,Alluvial,1088,Rabi,0.1,Vegetables
Madhya Pradesh,Central,Clay,764,Rabi,2.75,Maize
Madhya Pradesh,Central,Loamy,622,Kharif,3.56,Potato
Punjab,North,Sandy,590,Kharif,2.74,Pulses
Odisha,East,Sandy,421,Rabi,0.66,Pulses
Mizoram,Northeast,Alluvial,1757,Rabi,0.1,Sugarcane
Mizoram,Northeast,Clay,909,Zaid,1.6,Maize
Jharkhand,East,Alluvial,1655,Rabi,0.66,Sugarcane
Maharashtra,West,Loamy,858,Rabi,2.42,Wheat
Andhra Pradesh,South,Sandy,357,Rabi,1.2,Pulses
Jharkhand,East,Clay,760,Rabi,0.84,Maize
Assam,Northeast,Sandy,543,Rabi,1.59,Pulses
Goa,West,Laterite,524,Rabi,1.15,Oilseeds
Uttarakhand,North,Loamy,734,Zaid,0.1,Wheat
Andhra Pradesh,South,Red,472,Zaid,0.86,Millets
Haryana,North,Clay,825,Kharif,2.56,Maize
Andhra Pradesh,South,Laterite,734,Rabi,1.19,Oilseeds
Gujarat,West,Sandy,338,Kharif,1.58,Pulses
West Bengal,East,Laterite,703,Rabi,2.84,Oilseeds
Telangana,South,Clay,1315,Rabi,1.92,Rice
Karnataka,South,Red,522,Kharif,1.73,Millets
Tamil Nadu,South,Black (Regur),1023,Kharif,2.22,Cotton
Sikkim,Northeast,Sandy,337,Rabi,1.99,Pulses
Uttarakhand,North,Alluvial,1096,Rabi,0.1,Vegetables
Tamil Nadu,South,Sandy,472,Kharif,2.66,Pulses
Meghalaya,Northeast,Red,634,Zaid,2.22,Millets
Uttarakhand,North,Loamy,730,Kharif,2.2,Wheat
Meghalaya,Northeast,Clay,803,Rabi,0.1,Maize
West Bengal,East,Loamy,890,Kharif,0.79,Wheat
Uttar Pradesh,North,Red,638,Rabi,1.65,Millets
Gujarat,West,Loamy,702,Rabi,0.1,Wheat
Kerala,South,Clay,1539,Kharif,1.11,Rice
Uttar Pradesh,North,Alluvial,1687,Kharif,2.95,Jute
Haryana,North,Sandy,571,Rabi,2.47,Pulses
West Bengal,East,Alluvial,1887,Kharif,0.1,Sugarcane
Assam,Northeast,Red,521,Kharif,2.26,Millets
Chhattisgarh,Central,Loamy,986,Zaid,0.1,Potato
Sikkim,Northeast,Loamy,697,Rabi,1.42,Potato
Punjab,North,Alluvial,1105,Rabi,0.41,Vegetables
Tamil Nadu,South,Clay,1573,Kharif,2.46,Rice
Madhya Pradesh,Central,Alluvial,1988,Kharif,1.29,Sugarcane
Mizoram,Northeast,Black (Regur),1081,Kharif,0.1,Cotton
Jharkhand,East,Alluvial,1777,Rabi,0.72,Sugarcane
Arunachal Pradesh,Northeast,Black (Regur),750,Kharif,0.19,Cotton
Odisha,East,Loamy,966,Rabi,0.77,Potato
Uttar Pradesh,North,Alluvial,1520,Rabi,1.39,Jute
Gujarat,West,Loamy,892,Kharif,2.06,Wheat
Chhattisgarh,Central,Sandy,366,Rabi,2.38,Pulses
Odisha,East,Sandy,408,Rabi,0.87,Pulses
Chhattisgarh,Central,Loamy,832,Kharif,0.1,Wheat
Manipur,Northeast,Sandy,461,Kharif,1.01,Pulses
Kerala,South,Loamy,968,Kharif,2.59,Potato
Uttar Pradesh,North,Black (Regur),791,Kharif,0.1,Cotton
Telangana,South,Loamy,918,Kharif,1.88,Potato
Karnataka,South,Red,448,Rabi,1.99,Millets
Manipur,Northeast,Sandy,346,Kharif,0.1,Pulses
Madhya Pradesh,Central,Clay,738,Rabi,0.1,Maize
Odisha,East,Black (Regur),783,Rabi,2.58,Cotton
